,AWND,AWND_ATTRIBUTES,DATE,ELEVATION,FMTM,FMTM_ATTRIBUTES,LATITUDE,LONGITUDE,NAME,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT22,WT22_ATTRIBUTES
27,,,1998-04-28,190.5, 1020,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1023,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,47,",,W",59,",,W",34,",,W",  644,",,W",  330,",,W",  338,",,W",19.9,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,1998-04-29,190.5, 1621,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1622,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,58,",,W",72,",,W",43,",,W",  763,",,W",  270,",,W",  270,",,W",23.9,",,W",31.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,1998-04-30,190.5, 1330,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1428,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,67,",,W",79,",,W",54,",,W",  572,",,W",  270,",,W",  248,",,W",21.0,",,W",31.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,1998-05-01,190.5, 1432,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1432,",,W",0.11,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,64,",,W",74,",,W",54,",,W",  177,",,W",  210,",,W",  203,",,W",25.9,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,1998-05-02,190.5, 0338,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0417,",,W",0.46,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,59,",,W",68,",,W",49,",,W",  296,",,W",  120,",,W",  113,",,W",34.9,",,W",46.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,1998-05-03,190.5, 0309,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1548,",,W",0.00,"T,,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,57,",,W",65,",,W",48,",,W",  178,",,W",  180,",,W",   45,",,W",15.0,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,1998-05-04,190.5, 2219,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1136,",,W",0.23,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,59,",,W",71,",,W",46,",,W",  221,",,W",  150,",,W",  158,",,W",15.0,",,W",19.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,1998-05-05,190.5, 1519,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1518,",,W",0.84,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,64,",,W",72,",,W",56,",,W",  196,",,W",  150,",,W",  158,",,W",21.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,1998-05-06,190.5, 2304,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2346,",,W",0.90,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,57,",,W",61,",,W",52,",,W",    9,",,W",  150,",,W",  180,",,W",16.1,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,1998-05-07,190.5, 0738,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0738,",,W",1.15,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,54,",,W",57,",,W",51,",,W",    0,",,W",   50,",,W",   45,",,W",16.1,",,W",21.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,1998-05-08,190.5, 2038,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2345,",,W",0.00,"T,,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,55,",,W",61,",,W",49,",,W",    9,",,W",   50,",,W",   68,",,W",13.0,",,W",19.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,1998-05-09,190.5, 2241,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2253,",,W",0.85,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,50,",,W",52,",,W",48,",,W",    0,",,W",   50,",,W",   45,",,W",29.1,",,W",46.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,1998-05-10,190.5, 0613,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0912,",,W",1.85,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,46,",,W",48,",,W",44,",,W",    0,",,W",   50,",,W",   45,",,W",34.0,",,W",53.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,1998-05-11,190.5, 2042,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1157,",,W",1.08,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,46,",,W",48,",,W",43,",,W",    0,",,W",   50,",,W",   45,",,W",32.0,",,W",51.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,1998-05-12,190.5, 0904,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0907,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,45,",,W",50,",,W",39,",,W",  643,",,W",   50,",,W",   45,",,W",33.1,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,1998-05-13,190.5, 0840,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0644,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,43,",,W",48,",,W",37,",,W",  426,",,W",   50,",,W",   45,",,W",19.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,1998-05-14,190.5, 2211,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1216,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,51,",,W",62,",,W",39,",,W",  707,",,W",  180,",,W",   45,",,W",12.1,",,W",17.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,1998-05-15,190.5, 2221,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2310,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,65,",,W",80,",,W",49,",,W",  841,",,W",  240,",,W",  248,",,W",16.1,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,1998-05-16,190.5, 0842,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0853,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,59,",,W",68,",,W",50,",,W",  685,",,W",   50,",,W",   45,",,W",21.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,1998-05-17,190.5, 2301,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1849,",,W",0.07,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,59,",,W",68,",,W",49,",,W",  264,",,W",  210,",,W",  203,",,W",19.0,",,W",25.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,1998-05-18,190.5, 1315,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1314,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,66,",,W",82,",,W",50,",,W",  864,",,W",  330,",,W",  315,",,W",23.0,",,W",31.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,1998-05-19,190.5, 0929,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0933,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,65,",,W",74,",,W",55,",,W",  716,",,W",  330,",,W",  338,",,W",28.0,",,W",34.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,1998-05-20,190.5, 1809,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1850,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,64,",,W",76,",,W",52,",,W",  682,",,W",  210,",,W",  203,",,W",25.9,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,1998-05-21,190.5, 1925,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1926,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,66,",,W",80,",,W",52,",,W",  462,",,W",  320,",,W",  315,",,W",28.0,",,W",36.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,1998-05-22,190.5, 1437,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1437,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,58,",,W",70,",,W",45,",,W",  836,",,W",  320,",,W",  315,",,W",27.1,",,W",34.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,1998-05-23,190.5, 1041,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1323,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,62,",,W",75,",,W",48,",,W",  882,",,W",  300,",,W",  293,",,W",25.1,",,W",34.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,1998-05-24,190.5, 0939,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0942,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,66,",,W",80,",,W",52,",,W",  874,",,W",  320,",,W",  315,",,W",25.9,",,W",36.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,1998-05-25,190.5, 1352,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1352,",,W",0.00,"T,,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,66,",,W",78,",,W",53,",,W",  277,",,W",  230,",,W",  225,",,W",25.9,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,1998-05-26,190.5, 0507,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2102,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,66,",,W",80,",,W",51,",,W",  618,",,W",  270,",,W",    0,",,W",14.1,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,1998-05-27,190.5, 1719,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1718,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,65,",,W",77,",,W",53,",,W",  861,",,W",  210,",,W",  203,",,W",19.9,",,W",25.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,1998-05-28,190.5, 2346,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2314,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,71,",,W",85,",,W",56,",,W",  836,",,W",  230,",,W",  225,",,W",19.0,",,W",25.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,1998-05-29,190.5, 1559,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1849,",,W",0.19,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,75,",,W",87,",,W",63,",,W",  630,",,W",  210,",,W",  248,",,W",30.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,1998-05-30,190.5, 0933,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0930,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,74,",,W",85,",,W",62,",,W",  767,",,W",  300,",,W",  293,",,W",25.1,",,W",34.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,1998-05-31,190.5, 1556,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1556,",,W",0.45,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,67,",,W",76,",,W",58,",,W",  307,",,W",  210,",,W",  203,",,W",34.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,1998-06-01,190.5, 0427,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0418,",,W",0.24,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,64,",,W",73,",,W",54,",,W",  687,",,W",  210,",,W",  203,",,W",25.1,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,1998-06-02,190.5, 1555,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1638,",,W",0.04,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,61,",,W",71,",,W",50,",,W",  778,",,W",  210,",,W",  203,",,W",25.1,",,W",34.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,1998-06-03,190.5, 1503,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1452,",,W",0.43,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,55,",,W",64,",,W",45,",,W",  562,",,W",  320,",,W",  315,",,W",34.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,1998-06-04,190.5, 1600,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1553,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,53,",,W",63,",,W",43,",,W",  744,",,W",  300,",,W",  293,",,W",33.1,",,W",46.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,1998-06-05,190.5, 0956,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0928,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,58,",,W",69,",,W",47,",,W",  782,",,W",  300,",,W",  293,",,W",36.9,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,1998-06-06,190.5, 0933,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0933,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,57,",,W",65,",,W",49,",,W",  410,",,W",  320,",,W",  315,",,W",23.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,1998-06-07,190.5, 1147,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1149,",,W",0.18,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,57,",,W",63,",,W",50,",,W",    9,",,W",  210,",,W",  203,",,W",17.9,",,W",23.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,1998-06-08,190.5, 0938,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0651,",,W",0.12,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,53,",,W",58,",,W",48,",,W",    9,",,W",  330,",,W",  338,",,W",14.1,",,W",19.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,1998-06-09,190.5, 2345,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2107,",,W",0.00,"T,,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,59,",,W",70,",,W",48,",,W",  803,",,W",  240,",,W",  225,",,W",16.1,",,W",21.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,1998-06-10,190.5, 1754,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1722,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,66,",,W",80,",,W",52,",,W",  767,",,W",  210,",,W",  203,",,W",23.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
